Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AAAS	gene	AAAS	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome, OMIM:231550;Triple-A syndrome, MONDO:0009279						False	3	0;0;0	8.3	False		ENSG00000094914	ENSG00000094914	HGNC:13666													
ABCB7	gene	ABCB7	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Anemia, sideroblastic, with ataxia, OMIM:301310						False	3	0;0;0	8.3	False		ENSG00000131269	ENSG00000131269	HGNC:48													
ABHD12	gene	ABHD12	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa and Cataract (PHARC);Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract						False	3	0;0;0	8.3	False		ENSG00000100997	ENSG00000100997	HGNC:15868													
ACBD6	gene	ACBD6	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with progressive movement abnormalities, OMIM:620785				21937992;32108178;36457943;37951597		False	3	50;0;50	8.3	False		ENSG00000230124	ENSG00000230124	HGNC:23339													
ACO2	gene	ACO2	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Infantile cerebellar-retinal degeneration, OMIM:614559;Infantile cerebellar-retinal degeneration, MONDO:0013802				26992325;28545339;30689204;32519519		False	3	100;0;0	8.3	False		ENSG00000100412	ENSG00000100412	HGNC:118													
ADGRG1	gene	ADGRG1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal  606854				15044805		False	3	0;0;0	8.3	False		ENSG00000205336	ENSG00000205336	HGNC:4512													
ADPRHL2	gene	ADPRHL2	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures OMIM:618170;neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures MONDO:0100095				30100084;30401461;39580621		False	3	100;0;0	8.3	False		ENSG00000116863	ENSG00000116863	HGNC:21304													
AFG3L2	gene	AFG3L2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spinocerebellar ataxia 28, OMIM:610246;Spastic ataxia 5, autosomal recessive, OMIM:614487						False	3	0;0;0	8.3	False	Other - please provide details in the comments	ENSG00000141385	ENSG00000141385	HGNC:315													
AGTPBP1	gene	AGTPBP1	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, with cerebellar atrophy, OMIM:618276				30420557		False	3	100;0;0	8.3	False		ENSG00000135049	ENSG00000135049	HGNC:17258													
ALDH5A1	gene	ALDH5A1	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Succinic semialdehyde dehydrogenase deficiency, MIM# 271980				14635103;32887777		False	3	100;0;0	8.3	False		ENSG00000112294	ENSG00000112294	HGNC:408													
AMPD2	gene	AMPD2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia homozygous frameshift reported in single family (Novarino et al, 2014).;pontocerebellar hypoplasia type 9, 615809;Pontocerebellar hypoplasia 9 (#615809)				PMID: 24482476		False	3	0;0;0	8.3	False		ENSG00000116337	ENSG00000116337	HGNC:469													
ANO10	gene	ANO10	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 10,						False	3	0;0;0	8.3	False		ENSG00000160746	ENSG00000160746	HGNC:25519													
AP1S2	gene	AP1S2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pettigrew syndrome, OMIM:304340						False	3	0;0;0	8.3	False		ENSG00000182287	ENSG00000182287	HGNC:560													
APTX	gene	APTX	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Ataxia with Oculomotor Apraxia;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia						False	3	0;0;0	8.3	False		ENSG00000137074	ENSG00000137074	HGNC:15984													
ARSA	gene	ARSA	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Metachromatic leukodystrophy (#250100)						False	3	0;0;0	8.3	False		ENSG00000100299	ENSG00000100299	HGNC:713													
ASL	gene	ASL	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Argininosuccinic aciduria, OMIM:207900;argininosuccinic aciduria, MONDO:0008815;Ataxia, HP:0001251				38044746;36994644;28251416;12384776;17326097;29326055		False	3	100;0;0	8.3	False		ENSG00000126522	ENSG00000126522	HGNC:746													
ATAD3A	gene	ATAD3A	Expert Review;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Harel-Yoon syndrome, OMIM:617183;Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, OMIM:618810				27640307;28549128;29053797;31727539;32607449;33845882		False	3	100;0;0	8.3	False		ENSG00000197785	ENSG00000197785	HGNC:25567													
ATCAY	gene	ATCAY	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Ataxia, cerebellar, Cayman type OMIM:601238;Cayman type cerebellar ataxia MONDO:0011025				29449188;14556008;23226316;26343454		False	3	50;50;0	8.3	False		ENSG00000167654	ENSG00000167654	HGNC:779													
