Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AAAS	gene	AAAS	Expert Review Green	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome, OMIM:231550;Triple-A syndrome, MONDO:0009279						False	3	0;0;0	22.7	False		ENSG00000094914	ENSG00000094914	HGNC:13666													
ABCB7	gene	ABCB7	NHS GMS;Expert Review Green	Hereditary ataxia and cerebellar anomalies - childhood onset			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Anemia, sideroblastic, with ataxia, OMIM:301310						False	3	0;0;0	22.7	False		ENSG00000131269	ENSG00000131269	HGNC:48													
ABHD12	gene	ABHD12	Expert Review Green	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa and Cataract (PHARC);Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract						False	3	0;0;0	22.7	False		ENSG00000100997	ENSG00000100997	HGNC:15868													
ACBD6	gene	ACBD6	Expert Review Green;NHS GMS	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with progressive movement abnormalities, OMIM:620785				21937992;32108178;36457943;37951597		False	3	50;0;50	22.7	False		ENSG00000230124	ENSG00000230124	HGNC:23339													
ACO2	gene	ACO2	NHS GMS;Expert Review Green;Expert list	Hereditary ataxia and cerebellar anomalies - childhood onset			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Infantile cerebellar-retinal degeneration, OMIM:614559;Infantile cerebellar-retinal degeneration, MONDO:0013802				26992325;28545339;30689204;32519519		False	3	100;0;0	22.7	False		ENSG00000100412	ENSG00000100412	HGNC:118													
ADGRG1	gene	ADGRG1	Expert Review Green	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal  606854				15044805		False	3	0;0;0	22.7	False		ENSG00000205336	ENSG00000205336	HGNC:4512													
ADPRHL2	gene	ADPRHL2	NHS GMS;Expert Review Green;Expert list	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures OMIM:618170;neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures MONDO:0100095				30100084;30401461;39580621		False	3	100;0;0	22.7	False		ENSG00000116863	ENSG00000116863	HGNC:21304													
AFG3L2	gene	AFG3L2	Expert Review Green	Hereditary ataxia and cerebellar anomalies - childhood onset			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spinocerebellar ataxia 28, OMIM:610246;Spastic ataxia 5, autosomal recessive, OMIM:614487						False	3	0;0;0	22.7	False	Other - please provide details in the comments	ENSG00000141385	ENSG00000141385	HGNC:315													
AGTPBP1	gene	AGTPBP1	NHS GMS;Expert Review Green;Literature	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, with cerebellar atrophy, OMIM:618276				30420557		False	3	100;0;0	22.7	False		ENSG00000135049	ENSG00000135049	HGNC:17258													
AHI1	gene	AHI1	Expert Review Green	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.						False	3	100;0;0	22.7	False		ENSG00000135541	ENSG00000135541	HGNC:21575													
ALDH5A1	gene	ALDH5A1	NHS GMS;Expert Review Green;Expert list	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Succinic semialdehyde dehydrogenase deficiency, MIM# 271980				14635103;32887777		False	3	100;0;0	22.7	False		ENSG00000112294	ENSG00000112294	HGNC:408													
ALG1	gene	ALG1	Expert Review Green;UKGTN;Radboud University Medical Center, Nijmegen;Literature;Emory Genetics Laboratory	Hereditary ataxia and cerebellar anomalies - childhood onset			BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ik 608540;Mannosyltransferase 1 deficiency (Disorders of protein N-glycosylation)				22966035;14973782;26931382		False	3	100;0;0	22.7	False		ENSG00000033011	ENSG00000033011	HGNC:18294													
